Gene Name	Distal101	Distal102	Distal103	Distal104	Distal2D001	Distal2D002	Distal2D003	Distal2fusion01	Distal2fusion02	Distal2fusion03	Distal2fusion04	Distal301	Distal302	Distal303	Distal304	Proximal101	Proximal102	Proximal103	Proximal104	Proximal2D001	Proximal2D002	Proximal2D003	Proximal2fusion01	Proximal2fusion02	Proximal2fusion03	Proximal2fusion04	Proximal301	Proximal302	Proximal303	Proximal304
atp6v1aa	26.251	23.885	27.253	25.753	22.341	24.651	25.313	26.184	26.064	25.3	25.925	26.269	26.119	26.175	26.584	24.432	23.138	24.563	22.892	25.725	25.412	25.024	25.604	25.225	25.6	25.492	26.069	26.071	26.568	26.229
ctssb.2	22.421	23.05	22.983	21.386	22.17	21.59	21.525	21.453	20.838	20.621	21.533	22.806	23.273	21.035	22.469	21.75	22.92	22.656	22.408	21.188	22.13	21.773	20.196	21.478	20.449	20.867	22.022	20.938	20.871	20.842
ensab	23.291	23.92	23.327	22.344	23.711	22.684	23.322	24.772	24.834	24.749	25.182	24.577	21.041	24.612	20.925	22.573	22.5	22.883	22.52	23.964	24.116	21.282	23.371	24.861	24.778	24.537	24.071	24.694	23.764	23.479
zgc:101858	23.083	23.444	21.706	22.888	22.528	21.638	22.572	22.479	20.094	20.645	21.069	20.644	21.137	21.882	23.084	22.803	22.985	22.393	22.494	18.934	20.483	19.057	21.169	21.554	19.991	20.553	21.678	21.521	21.95	21.985
thy1	27.082	26.836	27.112	26.903	27.879	27.488	27.596	27.522	27.217	27.354	27.324	27.121	27.173	26.876	26.431	25.966	22.227	22.507	26.039	27.35	27.56	27.42	27.167	27.15	27.32	27.174	26.423	26.596	26.813	26.55
ftr82	23.017	22.643	22.434	23.238	21.055	22.291	22.021	20.187	21.747	21.484	20.992	20.752	21.529	22.099	22.794	22.307	23.066	22.48	21.394	20.091	21.91	20.198	20.104	19.815	19.576	20.101	22.489	21.412	20.501	20.474
purba	23.415	23.893	23.104	23.038	22.001	22.101	21.205	21.167	20.619	20.486	20.082	22.574	22.577	24.274	22.514	22.574	21.388	21.368	22.137	21.185	21.432	21.279	20.731	20.501	20.721	19.69	21.263	21.478	21.52	22.352
ankrd13a	22.607	22.806	23.038	21.587	21.003	21.184	21.89	20.552	20.643	21.278	21.464	22.761	22.442	21.975	21.023	22.421	21.469	22.119	21.67	20.143	19.264	20.25	19.817	20.836	20.974	20.822	20.313	21.391	21.795	21.489
ppp2r2ab	22.772	21.642	23.441	22.328	20.873	21.586	21.013	20.892	22.276	22.58	22.605	21.968	20.699	21.081	21.422	22.395	21.386	21.647	21.7	20.912	20.376	21.009	21.904	22.536	22.431	22.633	20.654	21.154	21.745	21.714
si:dkey-103e21.5	21.598	22.617	25.527	25.768	23.897	22.081	23.727	21.519	20.621	24.591	24.235	25.326	25.577	25.876	25.251	21.267	21.352	21.678	25.815	21.91	22.332	22.312	23.627	21.272	24.193	21.08	25.135	25.004	25.251	25.155
golph3	22.581	22.112	22.622	23.011	22.098	21.545	21.321	20.153	21.481	20.108	20.572	20.926	20.807	21.177	21.604	22.029	22.105	21.716	21.738	21.153	21.429	21.247	21.424	20.525	20.257	21.073	20.632	21.728	21.107	21.078
mtmr12	22.102	22.143	22.11	21.998	21.527	21.199	21.378	19.427	20.511	20.89	19.501	19.854	19.913	19.959	24.711	21.554	21.481	21.651	21.674	21.019	21.269	21.613	21.081	20.847	21.749	20.877	21.746	21.493	21.569	21.539
ccnh	26.738	22.437	25.225	25.084	26.785	26.274	26.508	21.796	22.173	21.691	22.511	22.887	22.15	21.567	27.29	24.75	25.256	25.789	27.174	25.118	27.572	27.81	27.264	22.063	22.249	20.363	27.626	23.819	27.487	27.561
cds2	22.071	23.325	22.789	22.943	21.591	22.046	19.407	20.674	20.484	19.628	20.448	24.347	24.582	24.363	24.235	21.549	21.68	22.416	22.431	20.734	20.427	20.834	20.707	20.074	18.866	18.988	24.406	22.07	24.482	24.53
mmab	22.4	23.287	21.599	23.354	23.038	21.868	21.204	20.699	21.275	21.426	21.197	22.349	22.975	22.573	22.601	21.581	22.518	22.399	22.414	21.25	21.166	21.343	18.829	19.665	19.895	20.005	22.718	20.549	19.871	19.845
dhfr	23.294	21.467	22.595	22.52	21.58	22.24	21.981	21.531	20.106	20.955	19.885	23.918	22.016	20.741	23.946	21.619	22.752	22.002	22.022	20.736	21.398	20.835	21.579	20.793	21.699	21.79	21.027	21.177	23.495	20.757
erap1b	26.078	25.284	24.832	26.413	22.166	20.707	23.81	25.054	25.215	24.944	23.795	25.198	25.407	24.937	25.253	25.24	22.247	25.208	22.309	23.268	20.995	23.394	24.055	24.383	23.872	23.673	23.971	21.484	23.902	24.493
map7d2a	24.474	24.291	24.281	24.224	22.157	20.653	21.712	20.54	21.688	20.876	20.545	20.337	20.98	20.848	20.577	22.33	22.364	24.098	24.252	20.841	21.491	20.939	21.212	21.042	20.814	20.915	21.236	21.199	20.785	22.357
aldh2.1	23.257	25.747	24.524	22.69	24.743	26.717	25.734	25.583	25.758	25.969	26.155	25.399	26.194	26.791	24.913	23.879	22.337	22.293	24.494	24.845	26.473	26.13	26.048	26.068	26.218	26.231	25.642	25.815	26.52	26.078
ckma	25.63	23.084	22.079	21.477	21.098	20.518	22.156	21.327	22.519	22.854	22.814	23.515	24.873	22.053	24.815	22.312	23.366	22.219	24.31	21.418	20.997	21.509	23.311	23.86	23.181	23.723	25.809	26.045	25.397	26.299
hexb	24.598	24.038	22.412	23.936	20.904	21.793	24.146	25.477	25.582	25.575	26.02	26.356	26.309	25.914	25.153	21.91	21.189	23.603	22.236	22.546	21.098	23.326	23.763	24.23	24.379	24.177	24.003	23.198	24.546	25.479
