id	logFC	AveExpr	t	P.Value	adj.P.Val	B
cfb	1.03299999999999	25.4964333333333	3.98682196567719	0.000352222461290068	0.0118154625650941	-0.260489339381265
nqo1	-1.95446666666667	26.3013	-3.93956239867894	0.000402549159559359	0.0132263586913459	-0.388859809801023
gstal	2.14513333333334	23.3543	3.93649913657487	0.000406043256397128	0.0132263586913459	-0.397162322289766
si:dkey-183i3.5	2.43346666666667	29.392	3.93503555964045	0.000407723116840271	0.0132263586913459	-0.401128335476464
rpia	1.3758	22.8573	3.9298029569156	0.000413784660036469	0.0132770903959528	-0.415303483976827
fah	1.73620000000001	24.6985	3.91274244293529	0.000434165182832322	0.0137812432228066	-0.4614745917756
ass1	-1.3064	25.3343333333333	-3.89751842380849	0.000453176590559187	0.0142316733545821	-0.502615627207938
si:dkeyp-80c12.10	-1.14046666666666	22.8031666666667	-3.88797064371693	0.000465511463345912	0.0144651562083909	-0.528388156160505
c9	1.2812	27.4195333333333	3.84921291618125	0.000519031818334298	0.0159602284137797	-0.632772878919117
vim	1.91019999999999	25.1067	3.79725664121532	0.000600267855510068	0.0182679454584095	-0.772097723156906
gmds	-1.9712	26.9346666666667	-3.77533844635948	0.000638134650361371	0.0192221784476201	-0.830658383967024
nenf	-1.49953333333333	23.8601666666667	-3.75621658362454	0.000673059611268558	0.0198687197246478	-0.881641301044251
LOC563265	-1.89840000000001	24.0102	-3.74902443762178	0.000686670675734361	0.0199728313707119	-0.900791068419817
impa1	-1.31913333333332	24.1685	-3.74524628999883	0.000693927555953419	0.0199728313707119	-0.910845003592716
capn2l	-1.79140000000001	26.7876333333333	-3.74371806068444	0.000696884021403564	0.0199728313707119	-0.914910610371944
c3a.2	1.82346666666666	26.4354666666667	3.73730399734365	0.000709426483758702	0.0201367978851509	-0.931967090981012
si:dkey-56e3.2	-1.46826666666666	22.3877333333333	-3.71332599422124	0.000758285527978009	0.0213186559865817	-0.995627825416512
comtd1	1.52139999999999	24.3857	3.70943157113822	0.000766523428489828	0.0213469543481318	-1.00595200619922
