id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ctnnd1	-0.442666666666668	26.5886	-0.643287791322651	0.524511784738915	0.880249453410617	-6.6381447863672
macrod1	-0.20346666666666	22.3321333333333	-0.639779143349177	0.526762111460096	0.882900546211597	-6.64040996765138
slc35c2	-0.498933333333337	24.3511333333333	-0.639023648034588	0.527247334317998	0.882900546211597	-6.64089613453664
sh3bgrl	-0.158999999999985	27.2917666666667	-0.638816926961379	0.527380144129483	0.882900546211597	-6.64102906349044
gnb1b	-0.196999999999999	27.8096333333333	-0.638728080613954	0.527437229749336	0.882900546211597	-6.64108618194485
api5	0.356466666666666	24.9171666666667	0.638359314861934	0.527674204632151	0.882900546211597	-6.64132317505763
lmnb1	0.225866666666658	26.3918	0.637932178595739	0.527948760339681	0.882900546211597	-6.64159751406924
ola1	-0.361200000000011	24.8739333333333	-0.637564617930359	0.528185082862358	0.882900546211597	-6.64183344580189
psma4	-0.141999999999999	26.6651333333333	-0.636672989420481	0.528758588161853	0.883358999577696	-6.6424052178742
srp68	-0.334400000000006	22.2292666666667	-0.634230882235797	0.530331075040057	0.88548491714833	-6.64396726469768
prkacbb	-0.232933333333328	21.6434	-0.633573669065614	0.530754682357575	0.885691250604614	-6.64438663844046
cs	-0.406399999999998	25.9590666666667	-0.632791801756255	0.531258869536241	0.885908410050733	-6.64488500265632
ppp1r37	0.204466666666669	21.5831	0.632441219323301	0.53148502513545	0.885908410050733	-6.64510826983801
pappa2	0.264999999999997	21.7059	0.630967435014654	0.532436300097092	0.886674643234268	-6.64604552373149
si:dkey-21e2.4	0.264200000000006	23.4041	0.630569223745701	0.532693485877406	0.886674643234268	-6.64629840027319
irf6	0.336666666666655	22.8792	0.62974728629849	0.533224544230611	0.886674643234268	-6.64681986350797
si:dkey-28b4.8	-0.267866666666677	23.9115333333333	-0.629475866114537	0.533399971817661	0.886674643234268	-6.64699191532319
col6a3	0.54836666666667	28.8683166666667	0.628976539529666	0.533722782350519	0.886674643234268	-6.64730824673731
dnm2a	-0.323799999999999	24.4728333333333	-0.628939244589746	0.533746897366969	0.886674643234268	-6.64733186384912
lrrc1	-0.320799999999991	22.4746	-0.628289653497453	0.534167017218163	0.886873472906647	-6.64774299978463
naa15a	-0.249400000000005	23.0388333333333	-0.625932298376034	0.535693091056039	0.887483328018123	-6.64923152228315
acadvl	-0.379399999999997	23.3033666666667	-0.625798085740219	0.535780044974983	0.887483328018123	-6.64931610485253
arpc5b	0.339400000000001	25.1201	0.625711831097278	0.53583593171095	0.887483328018123	-6.64937045431799
sf3b2	-0.197066666666668	21.6966	-0.625530662433147	0.535953325831304	0.887483328018123	-6.64948458575407
tceb3	0.294333333333334	21.2567	0.625400734776735	0.536037525019076	0.887483328018123	-6.64956641685401
hnrnpk	-0.45206666666666	25.1960333333333	-0.623544460924735	0.537241237620947	0.888832276473697	-6.65073372398941
CU929036.1	-0.303466666666655	23.4610666666667	-0.622905803206845	0.537655707678556	0.888832276473697	-6.6511345569664
rpz4	-0.300400000000003	22.8346666666667	-0.622596870623685	0.537856256110442	0.888832276473697	-6.65132830465121
mdka	0.255733333333332	22.0042	0.62189042398934	0.538315004653004	0.888832276473697	-6.65177100140301
uqcrq	0.271799999999999	21.4571	0.621824597827193	0.538357760953581	0.888832276473697	-6.6518122265568
lamp1	0.226266666666668	21.6887333333333	0.621325864309337	0.538681763010557	0.888870075129773	-6.65212443149456
ssr4	-0.284066666666664	24.2510333333333	-0.619840929525672	0.539647055780457	0.889466945628667	-6.653052545547
