gene_name,logFC,P.Value,adj.P.Val
Ackr3,-3.029848281,0.00000000184225350013 ,0.00000046959635993540 
Muc1,-2.768318048,0.00000000195354741934 ,0.00000049006132405259 
Il15,-3.205936799,0.00000000201541577877 ,0.00000049768173387027 
Cmpk2,-3.071346424,0.00000000229682068164 ,0.00000055844544696276 
Tbc1d9,2.239630775,0.00000000249398160042 ,0.00000058960685566200 
Sox4,2.398204871,0.00000000249959879330 ,0.00000058960685566200 
Drd4,-3.286373272,0.00000000260031681079 ,0.00000060434421878946 
Tm7sf2,-2.663433302,0.00000000283107424289 ,0.00000064429403458689 
Tbc1d24,-2.175297747,0.00000000285374477481 ,0.00000064429403458689 
Cldn3,2.261329416,0.00000000304814389310 ,0.00000067849107164143 
Sardh,-2.178873849,0.00000000315211700616 ,0.00000069188968285182 
Stard13,-3.661925069,0.00000000352785491654 ,0.00000076043403983377 
Gm2a,-1.8879485,0.00000000356062509160 ,0.00000076043403983377 
Cel,-2.40593525,0.00000000366191786171 ,0.00000077163933181941 
Muc4,2.501116707,0.00000000416558986622 ,0.00000086074343943067 
Adamts5,-3.861261008,0.00000000419370063504 ,0.00000086074343943067 
Trip6,2.336559043,0.00000000426952382066 ,0.00000086507121104760 
Krt80,4.251458105,0.00000000439009489428 ,0.00000087824126214159 
Net1,-2.083912059,0.00000000459788901117 ,0.00000090831297415663 
Prdx4,-1.882595772,0.00000000513007059694 ,0.00000099549288435355 
Cav2,-2.418072049,0.00000000516517441894 ,0.00000099549288435355 
Pds5b,-1.936330094,0.00000000524599689883 ,0.00000099888837336189 
Cyb5b,-1.825060081,0.00000000541726440815 ,0.00000101921960364747 
Smad7,3.089564381,0.00000000566148885631 ,0.00000105263729276529 
Glycam1,-2.795371037,0.00000000593632065326 ,0.00000109090246051239 
Mlec,-1.820389566,0.00000000617982008181 ,0.00000112259628244703 
Ly6a,-3.07972397,0.00000000625089586556 ,0.00000112260407112838 
Deptor,-2.859594814,0.00000000643868906739 ,0.00000114333755079727 
Ikzf4,-2.387444023,0.00000000663509064969 ,0.00000116222164116052 
Slco2a1,-3.545396303,0.00000000669211398036 ,0.00000116222164116052 
Pycr2,-2.410464566,0.00000000682649671205 ,0.00000116735978852068 
Gnmt,-2.546060608,0.00000000686942927945 ,0.00000116735978852068 
Erf,2.104815319,0.00000000709972951115 ,0.00000119366090632133 
Rassf6,-2.37639226,0.00000000884106100502 ,0.00000142345541783882 
Nfil3,-2.081997179,0.00000000884804049678 ,0.00000142345541783882 
Mocs1,-1.754299098,0.00000000888819756489 ,0.00000142345541783882 
Tspan7,-2.269677889,0.00000000893026538674 ,0.00000142345541783882 
Gpr146,-2.988856186,0.00000000894294737278 ,0.00000142345541783882 
Gnb4,-3.072479254,0.00000000900693126954 ,0.00000142345541783882 
Fdps,-2.653746927,0.00000000918201140633 ,0.00000143675750758055 
Mpv17l,-3.203020776,0.00000000944359259138 ,0.00000145904085761002 
Tmem110,-1.81705389,0.00000000950906152454 ,0.00000145904085761002 
Fads1,-2.058884114,0.00000000975808923098 ,0.00000148201543179264 
Derl3,-3.384688128,0.00000000984634398495 ,0.00000148201543179264 
Ccdc74a,-3.103966722,0.00000000999662186639 ,0.00000148941225860333 
Dtx4,4.682376356,0.00000001008397315050 ,0.00000148941225860333 
Aldh1l1,-4.201002713,0.00000001021881515172 ,0.00000149535328386874 
Crip2,2.054345807,0.00000001032702671351 ,0.00000149732413009454 
Fasn,-2.451148196,0.00000001059414046315 ,0.00000152208905345072 
Sapcd2,-3.353946425,0.00000001087588613282 ,0.00000153885874943725 
